,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
255,TUS00029,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",358.7,0.0
256,BB00017,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16,0.0
257,BB00018,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5,0.0
258,BN00002,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25,0.0
259,BN00003,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79,0.0
260,BL00038,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,1472.0,0.0
261,PJ31Q1G3A100,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",398.85,236.98
262,TUA00426,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",1229.88,0.0
263,PK14G1D1G300,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",1020.0,0.0
264,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,0.0
265,TUE00198,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",468.97,33.9
266,BC00026,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5,688.31
267,TUE00307,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",1030.0,236.68
268,TUE00308,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",1094.6,210.46
269,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
270,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,918.12
271,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0
272,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
273,RP00181,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,0.0
274,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
275,TK00028,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",519.0,78.24
276,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36,211.36
277,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76,137.48
278,TUA00428,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04,0.0
279,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,235.81
280,TUA00102,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2,370.94
281,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,0.0
